body,documents,type,id,gold_exact_answer,gold_ideal_answer,retrieved_pmids,retrieved_docids,pred_exact_answer,pred_ideal_answer,raw_llm,sources,answer_em,answer_f1,contexts
Which is the genetic lesion associated with Huntington’s disease?,['7620118'],factoid,5319a6e9b166e2b806000023,['A CAG trinucleotide repeat expansion in the HD gene'],The genetic lesion associated with Huntington's disease is a CAG trinucleotide repeat expansion in the HD (or HTT) gene.,"['12483111', '23562540', '23951168', '22506132', '24015757']","['12483111#0', '23562540#1', '23951168#2', '22506132#3', '24015757#4']",[],The genetic lesion associated with Huntington’s disease is a CAG repeat expansion in the huntingtin gene (HTT).,"```json
{
""exact_answer"": """",
""ideal_answer"": ""The genetic lesion associated with Huntington’s disease is a CAG repeat expansion in the huntingtin gene (HTT).""
}
```","[{'doc_id': '12483111#0', 'pmid': '12483111', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23562540#1', 'pmid': '23562540', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23951168#2', 'pmid': '23951168', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22506132#3', 'pmid': '22506132', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24015757#4', 'pmid': '24015757', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Role of neutrophil elastase in bone marrow failure syndromes: molecular genetic revival of the chalone hypothesis.', ""Title: GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease."", 'Title: Sonic hedgehog-induced histone deacetylase activation is required for cerebellar granule precursor hyperplasia in medulloblastoma.', 'evidence for and against the amyloid cascade hypothesis in AD and provides suggestions for future directions.', 'Title: Netherton syndrome associated with growth hormone deficiency.']"
Which is the target of bortezomib used in cancer therapy?,"['23822887', '23055533', '22204764', '22057347', '22819849', '22037302', '21862633', '21824109', '21242725', '19164757', '20616904', '19037995', '18491989', '18347166', '18205878', '17591945', '17504161', '17197231', '16258456', '16034054', '15846112', '15687646', '14695130', '14688465']",factoid,5319a708b166e2b806000024,['The ubiquitin/proteasome pathway'],"Bortezomib is a potent and specific reversible ubiquitin/proteasome pathway inhibitor, which has shown strong in vitro antitumor activity as single agent and in combination with other cytotoxic drugs in a broad spectrum of hematological and solid malignancies.","['14688465', '22934696', '21332640', '23468975', '23782158']","['14688465#0', '22934696#1', '21332640#2', '23468975#3', '23782158#4']",[],The document does not specify which target bortezomib is used in cancer therapy.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""The document does not specify which target bortezomib is used in cancer therapy.""
}
```","[{'doc_id': '14688465#0', 'pmid': '14688465', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22934696#1', 'pmid': '22934696', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21332640#2', 'pmid': '21332640', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23468975#3', 'pmid': '23468975', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23782158#4', 'pmid': '23782158', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Targeting E3 ubiquitin ligases for cancer therapy.', 'Title: DNA methylation as a target of epigenetic therapeutics in cancer.', 'Title: Targeting telomerase-expressing cancer cells.', 'patients who should be treated with specific targeted therapies, which could have efficacy against CLL cells that rely on specific biological pathways.', 'Title: Targeting BTK with ibrutinib in relapsed chronic lymphocytic leukemia.']"
Which is the E3 ubiquitin ligase of Hsp90?,"['23429937', '23344957', '20618441', '17209571']",factoid,5319a7d2b166e2b806000029,['Carboxyl terminus of hsc70-interacting protein (CHIP)'],"Carboxyl terminus of hsc70-interacting protein (CHIP) can mediate ubiquitination of the 90 kDa heat-shock protein (hsp90) in vitro, with subsequent proteasomal degradation of the chaperone.","['24100469', '23707720', '17420471', '12483111', '19191503']","['24100469#0', '23707720#1', '17420471#2', '12483111#3', '19191503#4']",[],A mechanism for transcriptional repression dependent on the BRCA1 E3 ubiquitin ligase.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""A mechanism for transcriptional repression dependent on the BRCA1 E3 ubiquitin ligase.""
}
```","[{'doc_id': '24100469#0', 'pmid': '24100469', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23707720#1', 'pmid': '23707720', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17420471#2', 'pmid': '17420471', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12483111#3', 'pmid': '12483111', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19191503#4', 'pmid': '19191503', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['HSP90 activity could be useful for the treatment of aggressive neuroendocrine tumors resistant to conventional therapy.', 'Title: Identification of ubiquitin-modified lysine residues and novel phosphorylation sites on eukaryotic initiation factor 2B epsilon.', 'Title: A mechanism for transcriptional repression dependent on the BRCA1 E3 ubiquitin ligase.', 'Title: Role of neutrophil elastase in bone marrow failure syndromes: molecular genetic revival of the chalone hypothesis.', 'Title: Phospholamban modulates the functional coupling between nucleotide domains in Ca-ATPase oligomeric complexes in cardiac sarcoplasmic reticulum.']"
What is the characteristic domain of histone methyltransferases?,"['23652029', '23453808', '21564555', '21196496', '21124902', '20599755', '20084102', '19187761', '18693240', '17517655', '17355966', '17338551', '17259630', '16519522', '16292313', '16055700', '15939934', '15933069', '15659850', '14633678', '14522075', '12887887', '12628190', '12514135', '12398767', '12389038', '12372304', '10949293']",factoid,532dcfc9d6d3ac6a34000021,['SET domain'],"SET (suppressor of variegation, enhancer of zest and trithorax) domain","['16055700', '6282265', '21156036', '8389441', '22898666']","['16055700#0', '6282265#1', '21156036#2', '8389441#3', '22898666#4']",[],A cytochrome c methyltransferase from Crithidia oncopelti.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""A cytochrome c methyltransferase from Crithidia oncopelti.""
}
```","[{'doc_id': '16055700#0', 'pmid': '16055700', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '6282265#1', 'pmid': '6282265', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21156036#2', 'pmid': '21156036', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8389441#3', 'pmid': '8389441', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22898666#4', 'pmid': '22898666', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Subunit contributions to histone methyltransferase activities of fly and worm polycomb group complexes.', 'Title: A cytochrome c methyltransferase from Crithidia oncopelti.', 'Title: DNA methylation in glioblastoma: impact on gene expression and clinical outcome.', 'Title: Isolation and identification by sequence homology of a putative cytosine methyltransferase from Arabidopsis thaliana.', 'Title: Protein kinases of the Hippo pathway: regulation and substrates.']"
"What tyrosine kinase, involved in a Philadelphia- chromosome positive chronic myelogenous leukemia, is the target of Imatinib (Gleevec)?","['23942795', '23666688', '23285088', '23233201', '23174189', '23090888', '23032801', '22985168', '22895079', '22893108', '22761178', '22519766', '22506320', '22461032', '22460758', '22349810', '22191306', '22160058', '22151181', '22087818', '22052279', '22037271', '21903771', '21892537', '21672900', '21672337', '21279819', '21203982', '17382013', '17379100', '17364993', '17292736', '16988930', '16850123', '16843101', '16757427', '16689455', '16475128', '16146726', '21061842', '20945321', '20875546', '20607973', '20529808', '20425400', '19860186', '19641300', '19254884', '19075651', '19064740', '18974832', '18533795', '18205699', '17970609', '17956348', '17929114', '17671641', '20425355', '17382020', '15899391', '15791812', '15739279', '15027317', '14744784', '14639002', '12869662', '12796373', '12783369', '12755554', '12750692', '12454739', '12411298', '12200353', '12176881', '12173333', '12082821', '11986206', '11870241', '11808344']",factoid,5324a8ac9b2d7acc7e000018,['BCR-ABL'],The fusion protein BCR-ABL,"['17929114', '19254884', '15899391', '15844661', '8697423']","['17929114#0', '19254884#1', '15899391#2', '15844661#3', '8697423#4']",[['Bcr-Abl']],"Imatinib (Gleevec) is a tyrosine kinase inhibitor that specifically targets the Bcr-Abl tyrosine kinase, which is a fusion protein created by the translocation of the BCR and ABL genes, a hallmark of Philadelphia chromosome-positive chronic myeloid leukemia. The document highlights the use of imatinib in treating this leukemia by inhibiting the Bcr-Abl kinase activity.","```json
{
  ""exact_answer"": ""Bcr-Abl"",
  ""ideal_answer"": ""Imatinib (Gleevec) is a tyrosine kinase inhibitor that specifically targets the Bcr-Abl tyrosine kinase, which is a fusion protein created by the translocation of the BCR and ABL genes, a hallmark of Philadelphia chromosome-positive chronic myeloid leukemia. The document highlights the use of imatinib in treating this leukemia by inhibiting the Bcr-Abl kinase activity.""
}
```","[{'doc_id': '17929114#0', 'pmid': '17929114', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19254884#1', 'pmid': '19254884', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15899391#2', 'pmid': '15899391', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15844661#3', 'pmid': '15844661', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8697423#4', 'pmid': '8697423', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",1.0,1.0,"['Title: The Bcr-Abl tyrosine kinase inhibitor imatinib and promising new agents against Philadelphia chromosome-positive leukemias.', 'Title: Optimizing treatment with Bcr-Abl tyrosine kinase inhibitors in Philadelphia chromosome-positive chronic myeloid leukemia: focus on dosing schedules.', 'Title: BCR-ABL gene amplification and overexpression in a patient with chronic myeloid leukemia treated with imatinib.', 'Title: Cyclooxygenase-2 induction and prostaglandin E2 accumulation in squamous cell carcinoma as a consequence of epidermal growth factor receptor activation by imatinib mesylate.', 'Title: Detection of the breakpoint cluster region-ABL fusion in chronic myeloid leukemia with variant Philadelphia chromosome translocations by in situ hybridization.']"
What is the gene mutated in the Gaucher disease?,"['23936319', '22230121', '21704274', '21223590', '20004604', '17427031', '16039881', '14757438', '11479729', '10882637', '9733040', '9295080', '9187679', '9175735', '8986634', '8556817', '7857677', '7923859', '8051940', '8213821', '1899336', '2117855', '2349952', '2464926']",factoid,532f55fed6d3ac6a34000036,['glucocerebrosidase'],The glucocerebrosidase gene (GBA),"['23564176', '19419704', '10628973', '22715154', '21156036']","['23564176#0', '19419704#1', '10628973#2', '22715154#3', '21156036#4']",[],"Dyskeratosis congenita, stem cells and telomeres.","```json
{
""exact_answer"": """",
""ideal_answer"": ""Dyskeratosis congenita, stem cells and telomeres.""
}
```","[{'doc_id': '23564176#0', 'pmid': '23564176', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19419704#1', 'pmid': '19419704', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '10628973#2', 'pmid': '10628973', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22715154#3', 'pmid': '22715154', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21156036#4', 'pmid': '21156036', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Endogenous mutagenesis in recombinant sulfolobus plasmids.', 'Title: Dyskeratosis congenita, stem cells and telomeres.', 'Title: Genetic analysis of transcription-associated mutation in Saccharomyces cerevisiae.', 'Title: DNA methylation of microRNA genes in multiple myeloma.', 'Title: DNA methylation in glioblastoma: impact on gene expression and clinical outcome.']"
What histone trimethylation has been associated to RNA splicing?,"['23740743', '23676078', '22308494', '22188810', '21807997', '21792193', '19823040', '18042460']",factoid,532ff917d6d3ac6a34000038,['H3K36me3'],Mostly H3K36me3 but there is some evidence that H3K4me3 may also play a role in splicing,"['20970105', '24015757', '22955980', '19074585', '21254926']","['20970105#0', '24015757#1', '22955980#2', '19074585#3', '21254926#4']",[],Widespread plasticity in CTCF occupancy linked to DNA methylation.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""Widespread plasticity in CTCF occupancy linked to DNA methylation.""
}
```","[{'doc_id': '20970105#0', 'pmid': '20970105', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24015757#1', 'pmid': '24015757', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22955980#2', 'pmid': '22955980', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19074585#3', 'pmid': '19074585', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21254926#4', 'pmid': '21254926', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Defective mitochondrial mRNA maturation is associated with spastic ataxia.', 'Title: Netherton syndrome associated with growth hormone deficiency.', 'Title: Widespread plasticity in CTCF occupancy linked to DNA methylation.', 'Title: Thyroid hormone receptor-beta is associated with coronary angiogenesis during pathological cardiac hypertrophy.', 'hosts through a comparative approach that compares RNA folding dynamics between strains with different mammalian cell passage histories.']"
What histone modification is recognized by the bromodomain?,"['23095041', '21851057', '21596426', '21271695', '21189220', '17049045', '16265664', '15970672', '15382140', '15143168', '15014446', '10746732', '10716917']",factoid,53398855d6d3ac6a3400005b,['Acetylated lysines'],Acetylated lysines in histones (generally H3 and H4),"['17049045', '21047797', '23707720', '12054621', '23460895']","['17049045#0', '21047797#1', '23707720#2', '12054621#3', '23460895#4']",[['acetylated histones']],The bromodomain recognizes acetylated histones. This is demonstrated in the study titled 'Selective recognition of acetylated histones by bromodomains in transcriptional co-activators' (DOCID=17049045#0)[PMID=17049045].,"```json
{
""exact_answer"": ""acetylated histones"",
""ideal_answer"": ""The bromodomain recognizes acetylated histones. This is demonstrated in the study titled 'Selective recognition of acetylated histones by bromodomains in transcriptional co-activators' (DOCID=17049045#0)[PMID=17049045].""
}
```","[{'doc_id': '17049045#0', 'pmid': '17049045', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21047797#1', 'pmid': '21047797', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23707720#2', 'pmid': '23707720', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12054621#3', 'pmid': '12054621', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23460895#4', 'pmid': '23460895', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Selective recognition of acetylated histones by bromodomains in transcriptional co-activators.', 'Title: Recognition and specificity determinants of the human cbx chromodomains.', 'Title: Identification of ubiquitin-modified lysine residues and novel phosphorylation sites on eukaryotic initiation factor 2B epsilon.', 'Title: The dietary flavonoid quercetin modulates HIF-1 alpha activity in endothelial cells.', 'Title: Minor groove binder distamycin remodels chromatin but inhibits transcription.']"
Which cyclin- dependent kinase inhibitor is regulated by Bmi-1?,"['20661663', '20591222', '20551323', '19321450', '18371338', '18371328', '18275833', '17989730', '17651940', '17145810', '17102614', '16537449', '16157028', '16155021', '14982841', '14574365', '12714971', '12482990', '9923679', '21928107', '18346113', '21496667', '21164364', '19907431', '19390085', '19389366', '17597110', '17233832', '16869752', '16778197', '15964994', '15892997', '14732230', '14536079', '11355949']",factoid,533abc76d6d3ac6a34000064,['p16INK4'],p16INK4 (also known as CDKN2A),"['16772299', '17640894', '10823814', '15143168', '20861184']","['16772299#0', '17640894#1', '10823814#2', '15143168#3', '20861184#4']",[],MLL1 regulates MDR1 transcription and chemoresistance.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""MLL1 regulates MDR1 transcription and chemoresistance.""
}
```","[{'doc_id': '16772299#0', 'pmid': '16772299', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17640894#1', 'pmid': '17640894', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '10823814#2', 'pmid': '10823814', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15143168#3', 'pmid': '15143168', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20861184#4', 'pmid': '20861184', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Phosphorylation of protein phosphatase inhibitor-1 by protein kinase C.', 'Title: Phosphorylation-mediated inactivation of coactivator-associated arginine methyltransferase 1.', 'Title: Deregulation of glucose transporter 1 and glycolytic gene expression by c-Myc.', 'findings suggest that CK2 phosphorylation of Bdf1 may regulate RNA polymerase II transcription and/or chromatin structure.', 'Title: Histone methyltransferase MLL1 regulates MDR1 transcription and chemoresistance.']"
What is the name of the stem loop present in the 3' end of genes encoding for selenoproteins?,"['24251578', '23788723', '23783574', '23614019', '23603359', '22209284', '20385601', '19467292', '19179357', '17901054', '17715293', '17470795', '15791204', '11839807', '11092556', '10567350', '10334333', '9256076', '8634917', '8602359', '8601283', '8955902', '8344267']",factoid,533ea8fcc45e133714000010,['SECIS'],SECIS (selenocysteine insertion sequence),"['8634917', '10334333', '9016640', '14596799', '22166400']","['8634917#0', '10334333#1', '9016640#2', '14596799#3', '22166400#4']",[],loop,"```json
{
""exact_answer"": """",
""ideal_answer"": ""loop""
}
```","[{'doc_id': '8634917#0', 'pmid': '8634917', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '10334333#1', 'pmid': '10334333', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '9016640#2', 'pmid': '9016640', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '14596799#3', 'pmid': '14596799', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22166400#4', 'pmid': '22166400', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['loop, suggesting that the non-Watson-Crick base pair arrangement provides an unusual pattern of chemical groups for putative ligand interaction.', 'manipulations of stem length and loop size should facilitate designing RNA molecules for obtaining high-resolution structural information about these elements.', 'Title: Atomic force microscopic demonstration of DNA looping by GalR and HU.', 'Title: ""Antiparallel"" DNA loop in gal repressosome visualized by atomic force microscopy.', 'other than PARK genes or yet other genes where parkinsonism is a well recognized, concomitant, or even an isolated feature.']"
Which is the histone residue methylated by MLL1?,"['23399917', '23038103', '22666422', '22488473', '22046413', '21875999', '21124902', '21113167', '20861184', '19855399', '19818711', '19481096', '19219072', '19187761', '18838538', '18562676', '17942719', '17168535', '16651450', '15960975', '15941828']",factoid,533be71dfd9a95ea0d000009,['H3K4'],Histone H3 at lysine 4 (H3K4),"['20861184', '21113167', '22715154', '3280983', '21156036']","['20861184#0', '21113167#1', '22715154#2', '3280983#3', '21156036#4']",[['H3']],"The document states that histone methyltransferase MLL1 regulates MDR1 transcription and chemoresistance. It also states that the histone methyltransferase MLL1 permits the oscillation of circadian gene expression. However, none of these documents explicitly state which histone residue is methylated by MLL1. Therefore, based solely on the provided text, the answer is H3.","```json
{
  ""exact_answer"": ""H3"",
  ""ideal_answer"": ""The document states that histone methyltransferase MLL1 regulates MDR1 transcription and chemoresistance. It also states that the histone methyltransferase MLL1 permits the oscillation of circadian gene expression. However, none of these documents explicitly state which histone residue is methylated by MLL1. Therefore, based solely on the provided text, the answer is H3.""
}
```","[{'doc_id': '20861184#0', 'pmid': '20861184', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21113167#1', 'pmid': '21113167', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22715154#2', 'pmid': '22715154', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '3280983#3', 'pmid': '3280983', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21156036#4', 'pmid': '21156036', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Histone methyltransferase MLL1 regulates MDR1 transcription and chemoresistance.', 'Title: The histone methyltransferase MLL1 permits the oscillation of circadian gene expression.', 'Title: DNA methylation of microRNA genes in multiple myeloma.', 'Title: Methyl-directed DNA mismatch repair in Escherichia coli.', 'Title: DNA methylation in glioblastoma: impact on gene expression and clinical outcome.']"
What is the function of the protein encoded by the gene PABPC4?,"['23938467', '23181716', '22896784', '23300856', '22884093', '22530058', '21940797', '21300955', '20943973', '11328870']",factoid,531d744c267d7dd053000009,"['PABC4 is important for mRNA stability and translation initiation, in chronic inflammation and in the pathogenesis of colorectal cancer.']",The main function of PABPC4 is in mRNA stability and translation initiation. PABPC4 may also play a role in chronic inflammation and in the pathogenesis of colorectal cancer.,"['24805245', '23071088', '19147556', '22718819', '20736309']","['24805245#0', '23071088#1', '19147556#2', '22718819#3', '20736309#4']",[],This question cannot be answered from the provided document text.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""This question cannot be answered from the provided document text.""
}
```","[{'doc_id': '24805245#0', 'pmid': '24805245', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23071088#1', 'pmid': '23071088', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19147556#2', 'pmid': '19147556', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22718819#3', 'pmid': '22718819', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20736309#4', 'pmid': '20736309', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: A Ctf4 trimer couples the CMG helicase to DNA polymerase α in the eukaryotic replisome.', 'on cooperative interactions between the major domains of CHD4 with histones and DNA and on binding of methylated DNA by MBD2.', 'Cdk4 activity may be a useful chemoprevention or therapeutic strategy in cancer driven by primary RB pathway disruption.', 'Title: Large ribosomal protein 4 increases efficiency of viral recoding sequences.', 'MTMR4 localizes at the interface of early and recycling endosomes to regulate trafficking through this pathway.']"
Name a method for enrichment of arginine-methylated peptides.,['24129315'],factoid,532206819b2d7acc7e00000f,['Immunoaffinity purification'],Immunoaffinity purification using specific antibodies has been used in order to perform enrichment of methylated peptides.,"['15768030', '17640894', '21909922', '21450940', '12379112']","['15768030#0', '17640894#1', '21909922#2', '21450940#3', '12379112#4']",[],The method for enrichment of arginine-methylated peptides is fluorous affinity tags and mass spectrometry.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""The method for enrichment of arginine-methylated peptides is fluorous affinity tags and mass spectrometry.""
}
```","[{'doc_id': '15768030#0', 'pmid': '15768030', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17640894#1', 'pmid': '17640894', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21909922#2', 'pmid': '21909922', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21450940#3', 'pmid': '21450940', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12379112#4', 'pmid': '12379112', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Enrichment and analysis of peptide subsets using fluorous affinity tags and mass spectrometry.', 'Title: Phosphorylation-mediated inactivation of coactivator-associated arginine methyltransferase 1.', 'Title: Proteomics method for identification of pseudopodium phosphotyrosine proteins.', 'Title: Hyperplasia-adenoma sequence in pituitary tumorigenesis related to aryl hydrocarbon receptor interacting protein gene mutation.', 'Title: Methylpurine DNA glycosylase of the hyperthermophilic archaeon Archaeoglobus fulgidus.']"
What is the ubiquitin proteome?,"['23764619', '23743150', '22178446']",factoid,532f1452d6d3ac6a34000030,['The ubiquitin proteome is the entire set ubiquitinated proteins and of their respective ubiquitination sites.'],The ubiquitin proteome is the entire set ubiquitinated proteins and of their respective ubiquitination sites.,"['14963686', '7952245', '16487696', '23829793', '19419704']","['14963686#0', '7952245#1', '16487696#2', '23829793#3', '19419704#4']",[],,"```json
{
""exact_answer"": """",
""ideal_answer"": """"
}
```","[{'doc_id': '14963686#0', 'pmid': '14963686', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '7952245#1', 'pmid': '7952245', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '16487696#2', 'pmid': '16487696', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23829793#3', 'pmid': '23829793', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19419704#4', 'pmid': '19419704', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Muenke syndrome.', 'Title: Neuroleptic malignant syndrome.', 'Title: Rho GTPases in animal cell mitosis.', 'Title: Pulmonary arterial hypertension.', 'Title: Dyskeratosis congenita, stem cells and telomeres.']"
How can the expression of SerH3 immobilization antigen be regulated?,"['3336362', '3537733', '4054606', '3915784', '11973302', '7731807', '7828814', '8414992', '1522546', '2233735', '2854007', '3211135']",factoid,5335f053d6d3ac6a34000055,['Temperature regulation'],The expression of Tetrahymena surface proteins serotype H3 (SerH3) is under temperature regulation. SerH3 is expressed when cells are incubated between the temperatures of 20 and 35 degrees C.,"['24101520', '8702967', '20359542', '11973302', '16289848']","['24101520#0', '8702967#1', '20359542#2', '11973302#3', '16289848#4']",[['Polymorphism and selection at the SerH immobilization antigen locus in natural populations of Tetrahymena thermophila.']],Polymorphism and selection at the SerH immobilization antigen locus in natural populations of Tetrahymena thermophila are observed. This suggests that the expression of the SerH3 immobilization antigen can be regulated through genetic mechanisms such as polymorphism and selection pressure.,"```json
{
  ""exact_answer"": ""Polymorphism and selection at the SerH immobilization antigen locus in natural populations of Tetrahymena thermophila."",
  ""ideal_answer"": ""Polymorphism and selection at the SerH immobilization antigen locus in natural populations of Tetrahymena thermophila are observed. This suggests that the expression of the SerH3 immobilization antigen can be regulated through genetic mechanisms such as polymorphism and selection pressure.""
}
```","[{'doc_id': '24101520#0', 'pmid': '24101520', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8702967#1', 'pmid': '8702967', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20359542#2', 'pmid': '20359542', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '11973302#3', 'pmid': '11973302', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '16289848#4', 'pmid': '16289848', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Allosteric regulation of SERCA by phosphorylation-mediated conformational shift of phospholamban.', 'Title: Phospholamban regulates the Ca2+-ATPase through intramembrane interactions.', 'Title: Regulation of macroautophagy in Saccharomyces cerevisiae.', 'Title: Polymorphism and selection at the SerH immobilization antigen locus in natural populations of Tetrahymena thermophila.', 'Title: The structure and regulation of myotubularin phosphatases.']"
